Winrate_Blue_Top,Games_Blue_Top,Winrate_Blue_Jungle,Games_Blue_Jungle,Winrate_Blue_Mid,Games_Blue_Mid,Winrate_Blue_Carry,Games_Blue_Carry,Winrate_Blue_Support,Games_Blue_Support,Winrate_Red_Top,Games_Red_Top,Winrate_Red_Jungle,Games_Red_Jungle,Winrate_Red_Mid,Games_Red_Mid,Winrate_Red_Carry,Games_Red_Carry,Winrate_Red_Support,Games_Red_Support,Outcome
57.1,63.0,62.9,70.0,59.8,117.0,48.4,124.0,51.8,695.0,,,57.1,7.0,27.8,18.0,75.0,8.0,47.0,100.0,True
12.5,8.0,39.3,28.0,0.0,5.0,0.0,3.0,0.0,2.0,50.6,1343.0,60.0,40.0,59.8,117.0,58.7,75.0,39.3,28.0,False
35.3,17.0,33.3,3.0,12.5,8.0,58.7,75.0,25.0,4.0,74.2,31.0,100.0,1.0,52.0,50.0,,,65.6,64.0,False
54.2,72.0,62.5,24.0,40.7,27.0,33.3,18.0,50.0,14.0,35.3,17.0,62.5,32.0,100.0,1.0,58.7,75.0,59.3,27.0,False
,,55.6,9.0,38.9,36.0,58.6,174.0,50.9,110.0,75.0,4.0,100.0,1.0,100.0,4.0,58.7,75.0,50.0,10.0,False
41.2,17.0,60.0,20.0,67.6,37.0,56.4,101.0,50.0,246.0,0.0,1.0,58.6,70.0,59.8,117.0,58.7,75.0,33.3,9.0,True
57.1,49.0,78.4,37.0,59.8,117.0,58.7,75.0,51.0,343.0,61.8,68.0,61.0,82.0,54.5,44.0,55.0,20.0,55.0,60.0,False
66.7,12.0,77.8,9.0,59.8,117.0,37.5,8.0,55.0,60.0,52.6,962.0,33.3,18.0,0.0,4.0,57.4,317.0,53.7,188.0,True
100.0,1.0,38.9,18.0,59.8,117.0,58.7,75.0,55.9,136.0,60.0,5.0,54.5,11.0,53.1,49.0,66.7,12.0,51.3,267.0,True
59.2,49.0,57.9,38.0,33.3,6.0,52.2,1619.0,54.9,366.0,77.8,9.0,59.3,27.0,59.8,117.0,58.7,75.0,48.1,160.0,True
