,Winrate_Blue_Top,Games_Blue_Top,Winrate_Blue_Jungle,Games_Blue_Jungle,Winrate_Blue_Mid,Games_Blue_Mid,Winrate_Blue_Carry,Games_Blue_Carry,Winrate_Blue_Support,Games_Blue_Support,Winrate_Red_Top,Games_Red_Top,Winrate_Red_Jungle,Games_Red_Jungle,Winrate_Red_Mid,Games_Red_Mid,Winrate_Red_Carry,Games_Red_Carry,Winrate_Red_Support,Games_Red_Support,Outcome,blue_winrates_avg,red_winrates_avg,avg_win_dif,blue_games_avg,red_games_avg
3024,58.1,86.0,71.3,87.0,53.3,514.0,50.0,4.0,72.4,29.0,56.2,73.0,53.8,13.0,56.4,188.0,52.5,299.0,53.2,489.0,True,61.02,54.42,6.600000000000001,61.02,54.42
3025,42.9,7.0,52.2,46.0,75.0,4.0,33.3,3.0,59.8,117.0,58.8,641.0,28.6,7.0,51.9,27.0,54.5,11.0,59.9,177.0,True,52.64,50.74,1.8999999999999986,52.64,50.74
3026,60.4,53.0,52.2,46.0,72.4,29.0,57.6,33.0,72.4,29.0,33.3,57.0,56.8,310.0,45.0,40.0,53.3,45.0,63.0,46.0,True,63.0,50.28,12.719999999999999,63.0,50.28
3027,42.9,7.0,77.8,9.0,52.2,985.0,57.1,28.0,55.0,449.0,,,45.0,20.0,41.7,24.0,35.7,14.0,37.5,8.0,True,57.0,39.98,17.020000000000003,57.0,39.98
3028,69.6,23.0,77.8,9.0,100.0,4.0,38.1,21.0,51.2,527.0,20.0,10.0,57.1,28.0,49.6,544.0,52.7,148.0,54.0,87.0,True,67.34,46.68,20.660000000000004,67.34,46.68
3029,52.5,101.0,77.8,9.0,53.8,392.0,,,52.7,93.0,49.3,140.0,57.4,148.0,0.0,1.0,35.5,31.0,53.9,89.0,True,59.2,39.22,19.980000000000004,59.2,39.22
3030,33.3,3.0,40.0,5.0,58.3,12.0,64.3,14.0,,,75.0,4.0,77.8,9.0,56.4,188.0,,,53.2,489.0,False,48.97,65.6,-16.629999999999995,48.97,65.6
3031,54.1,37.0,77.8,9.0,64.4,73.0,66.7,9.0,48.6,35.0,0.0,3.0,0.0,2.0,20.0,5.0,45.0,20.0,50.0,44.0,True,62.32,23.0,39.32,62.32,23.0
3032,54.3,744.0,45.7,35.0,66.7,3.0,100.0,1.0,47.5,40.0,51.5,99.0,68.0,50.0,57.8,45.0,66.7,3.0,44.1,59.0,True,62.84,57.62,5.220000000000006,62.84,57.62
3033,50.0,2.0,50.0,16.0,30.8,13.0,47.5,59.0,68.4,19.0,49.3,71.0,77.8,9.0,52.0,281.0,,,54.5,11.0,False,49.34,58.4,-9.059999999999995,49.34,58.4
3034,42.1,19.0,52.2,46.0,40.0,5.0,76.9,13.0,58.1,43.0,62.5,24.0,45.8,24.0,63.6,11.0,46.7,30.0,52.9,87.0,False,53.86,54.3,-0.4399999999999977,53.86,54.3
3035,0.0,1.0,52.2,46.0,57.8,45.0,49.1,224.0,66.7,3.0,56.1,506.0,50.0,6.0,,,63.5,293.0,63.4,71.0,False,45.16,58.25,-13.090000000000003,45.16,58.25
3036,0.0,2.0,52.2,46.0,25.0,4.0,,,72.4,29.0,54.3,744.0,65.6,32.0,58.8,160.0,50.0,24.0,50.0,42.0,False,37.4,55.74,-18.340000000000003,37.4,55.74
3037,60.8,130.0,71.3,87.0,57.1,324.0,50.0,10.0,72.4,29.0,50.0,34.0,51.1,528.0,58.0,81.0,35.7,14.0,50.3,292.0,True,62.32,49.02,13.299999999999997,62.32,49.02
3038,58.1,74.0,51.3,232.0,100.0,3.0,54.9,51.0,48.3,147.0,38.1,21.0,50.0,4.0,0.0,1.0,40.0,5.0,28.6,7.0,True,62.52,31.34,31.180000000000003,62.52,31.34
3039,58.3,36.0,37.0,27.0,44.4,9.0,55.0,20.0,75.0,12.0,54.9,368.0,50.0,4.0,45.7,81.0,55.9,34.0,66.7,6.0,True,53.94,54.64,-0.7000000000000028,53.94,54.64
3040,55.2,87.0,52.6,19.0,54.1,170.0,31.8,44.0,45.8,83.0,61.3,62.0,52.2,46.0,55.6,9.0,62.7,51.0,47.3,55.0,False,47.9,55.82,-7.920000000000002,47.9,55.82
3041,56.0,125.0,61.1,18.0,100.0,2.0,57.4,47.0,68.3,60.0,61.0,154.0,51.5,103.0,58.8,160.0,60.0,5.0,71.4,14.0,True,68.56,60.54,8.020000000000003,68.56,60.54
3042,51.5,169.0,52.2,46.0,51.6,545.0,58.2,110.0,60.9,69.0,55.1,356.0,59.7,471.0,56.3,490.0,75.0,4.0,57.4,383.0,True,54.88,60.7,-5.82,54.88,60.7
3043,51.6,545.0,50.0,4.0,42.9,7.0,,,57.6,59.0,50.0,12.0,53.5,43.0,47.2,36.0,28.6,7.0,58.6,29.0,True,50.52,47.58,2.940000000000005,50.52,47.58
3044,,,20.0,5.0,33.3,3.0,,,72.4,29.0,37.5,8.0,54.5,11.0,53.3,45.0,48.6,37.0,37.5,16.0,True,41.9,46.28,-4.380000000000003,41.9,46.28
3045,62.1,227.0,71.3,87.0,0.0,3.0,46.0,137.0,72.4,29.0,58.3,108.0,60.0,5.0,50.0,4.0,25.0,8.0,54.4,528.0,False,50.36,49.54,0.8200000000000003,50.36,49.54
3046,51.2,41.0,55.5,753.0,55.6,99.0,38.1,21.0,33.3,9.0,47.0,100.0,60.0,10.0,46.8,77.0,48.3,58.0,68.8,16.0,False,46.74,54.18,-7.439999999999998,46.74,54.18
3047,56.4,165.0,71.3,87.0,53.1,516.0,72.2,18.0,38.5,13.0,62.2,217.0,58.9,151.0,30.0,10.0,56.0,141.0,0.0,1.0,True,58.3,41.42,16.879999999999995,58.3,41.42
