,Summoner ID
96,Hu5S_j7gQ_IHF_JeLtZYH-U3S3E9Kn2c--ZnqgHN2Uxztgwj
97,z7udvAI_Y-7Z0aalFCLGvBEZG-8-dkN6sp6CMzS95YD4VYh_
98,DG84OivEu6vvapGNHOcPbuahXpwZ7X1hUh-9hctkIHBqf80n
99,rax3JTwklhjY9rs8uhfNjjXbnZ2VpYe-QmQfHHArTB6SKy6t
100,TvEnHkd-p7w6noaEoRyZLxY7VuMNH32QO3JSh8wQ46AX2geq
101,sFhfAl_Rh1_HeKkryShevEQSVK9Ukjtl1M9bGDMgG_FhaXq4
102,491rzS4N5IBefpign3weN-ZHiUp8MNEvyOTiBsgHU9C2O6wA
103,FzG2PKzqGU0WGJ85n1YP2WuxlfzeLT308hPmaJee7cBHk4SM
104,RT6jUHmykIRoeINDQGu-gE2lHOthuftTfAL59K7MicQPVFAj
105,Io-UHX3p6sy-_3W4KzIJbi5GO35eOw7zG6xobKV8avqH5G4i
106,l-rMhOFHZS-OejTpCDkna3c8QZbL3LVvBUEJaaXeeGWEuytE
107,gMGO7XSturKrVnpcLt14xdd8vSv-ln5P-2bYTvEpRRThFdC5
108,SPNx8EiUfRHIQ-SQ__f29TBk5VoUmM54zzrr3JXJ9JRokmJJ
109,E1uwTDLy3h_dWiX_Qi-I4FiiNEaMZoc55YGRRNBVE9zZW4ei
110,D4jYo7Ml_8khDptQ1GU7CCqPy2GURMyp7lcHmKongdkp8lG5
111,dbucn2WfLViMOVjWzyzT4HTCZ6kNEP44xvYkP9c2kStfXmRk
112,5iIvrTNHEgAGnmuP_LJM1ARaJWiEHQl4U52igQf33QIOuD6M
113,8T55-x89uHami9_VbV-ojc5ZBIY516XOxIv88DDCnCVldSiY
114,Wq2l4dDVJgZgG1cLIPJXeB2SnDFO_FO-eAymxoqvuaO8Gxlk
115,Kq9hx4t0z_1-Iaz2U9R90h_yXlvrSKZzwPsL6fOMsl0SCjRM
116,Skkg1YGBbYGSu9b_IKiJ8Qr8lhbdfAX1lmiMf8CDPPJDNA4o
117,-1J8MTrpxTmmuv9cr-pAUWQFSEJjQYCXKxeBjj8TQR2zgEyO
118,NcWuu02Fj267JQpvHkohOM---36Nsf5O-4TP9YXQutV4zck_
119,bOqnDqG-oRsyD805ygyCErxYhYgAxY2nlwP30TyRDq_2eXss
120,CGj4c3_r0FDM6ZYKyUFmzfiml-L7SKuEzY6sVeE1EAksDzUW
121,b0iat9EvYGoGj2Yd1-hp9naw1Njyycw-1gQ_G6CgD13oqORd
122,PluHSHQrkzF7zFqf-ipaWZHupeMnLpWMsDaY7lfmCLxZdPdc
123,NGapnFUREotBH_qnp8vO-nGTLHE111Snkl03B0cZBxVi7cKH
