,Blue Top,Blue Jungle,Blue Mid,Blue Carry,Blue Support,Red Top,Red Jungle,Red Mid,Red Carry,Red Support,Outcome
2801,"['Champ', 'Yasuo']","['NÖYRISTELIJÄ', 'Khazix']","['XXD', 'Cassiopeia']","['Bubatzbändiger', 'Vayne']","['TURBODISHWASHERx', 'Janna']","['AllergieMan', 'Aatrox']","['V Halmstad', 'Jax']","['old man pops off', 'Lux']","['Rumutresk', 'Ezreal']","['korean', 'Sona']",True
2802,"['mochoncito', 'Warwick']","['ouh', 'Elise']","['Zonachi', 'Anivia']","['Sarmert', 'Varus']","['DieTrying', 'Senna']","['Champ', 'Renekton']","['PayzBack', 'Kayn']","['Siltsu', 'Shen']","['CSG Keos', 'Twitch']","['GumKer', 'Alistar']",False
2803,"['Champ', 'Illaoi']","['yorusagi', 'Khazix']","['push the p', 'Taliyah']","['The Fat Joe', 'Varus']","['Hilbert', 'Alistar']","['OTP Warwick', 'Warwick']","['EvaIunna feet', 'Nunu']","['Grim Marisa', 'TwistedFate']","['koKzyx', 'Kaisa']","['212sup516sup96', 'Nautilus']",False
2804,"['Champ', 'Camille']","['yuji itadοri', 'LeeSin']","['SeeAWizard', 'Lux']","['Anakın Skywalker', 'Twitch']","['Pwincess', 'Lulu']","['inhalexhalecigs', 'Garen']","['GodcomplexJungle', 'Mordekaiser']","['ExilehJay', 'Anivia']","['Zéphi', 'Nilah']","['Vinyl Acetate', 'Braum']",True
2805,"['ItsILiador', 'KSante']","['Boćaa', 'Kayn']","['Sporctos Reborns', 'Kassadin']","['Sorryf0rExisted', 'Kaisa']","['iTsRafiita', 'Heimerdinger']","['Champ', 'Renekton']","['DRX Zouzou', 'Ekko']","['UwUdesley', 'Sejuani']","['G2 Imba', 'Draven']","['Insensitive af', 'Pyke']",True
2806,"['Champ', 'Renekton']","['i did Iove u', 'MonkeyKing']","['Chuba1', 'Akali']","['Cocaïne ADC', 'Twitch']","['Ted BuckIand', 'Lulu']","['MistaBoonga', 'Ornn']","['maromega zz', 'Kayn']","['Poul1234', 'Yone']","['A Dumb Carry', 'Ziggs']","['goth girl asmr', 'Nami']",True
2807,"['Orobou', 'Gnar']","['RelentlessFlame', 'FiddleSticks']","['Champ', 'Yasuo']","['koonou', 'Kaisa']","['Cocaïne ADC', 'Swain']","['ItsILiador', 'Camille']","['Patate de zinzin', 'Mordekaiser']","['ThreeDaysOfRain', 'Kayle']","['gothmommy69', 'Ezreal']","['skobeloFF lσl', 'Nami']",False
2808,"['N E X Y 3 3 3', 'Nunu']","['Castięl', 'Rengar']","['DRECKSSACKBLASE8', 'Azir']","['OSC Kryzen', 'Twitch']","['Champ', 'Thresh']","['Budde In Bush', 'Akali']","['MBLMJ', 'Hecarim']","['Rubeud', 'Yasuo']","['Nydlov', 'Kaisa']","['AIIy 4', 'Yuumi']",True
2809,"['Champ', 'Yasuo']","['PlSSDRlNKER', 'Shaco']","['FTG Emirhan', 'Gragas']","['DRECKSSACKBLASE8', 'Samira']","['Cimoo', 'Nautilus']","['Luv Letter14', 'Olaf']","['EcoFaves', 'MonkeyKing']","['Frizelblitz', 'Syndra']","['not malicious', 'Kalista']","['Hamaguagua', 'Blitzcrank']",True
2810,"['Focus LoL', 'Jax']","['Doctor Hakim', 'Lillia']","['RIPHenchman24', 'Rumble']","['Anakin0', 'Sivir']","['I am Roo', 'Yuumi']","['Champ', 'Yasuo']","['Usopp EU', 'Ekko']","['noobyda', 'Syndra']","['TXN RATATA', 'Samira']","['FULLMUTEDKMS', 'Karma']",True
