Winrate_Blue_Top,Games_Blue_Top,Winrate_Blue_Jungle,Games_Blue_Jungle,Winrate_Blue_Mid,Games_Blue_Mid,Winrate_Blue_Carry,Games_Blue_Carry,Winrate_Blue_Support,Games_Blue_Support,Winrate_Red_Top,Games_Red_Top,Winrate_Red_Jungle,Games_Red_Jungle,Winrate_Red_Mid,Games_Red_Mid,Winrate_Red_Carry,Games_Red_Carry,Winrate_Red_Support,Games_Red_Support,blue_winrates_avg,red_winrates_avg,avg_win_dif,blue_games_avg,red_games_avg,Outcome
25.0,4.0,42.9,7.0,30.8,13.0,49.3,69.0,50.0,20.0,85.7,7.0,100.0,1.0,59.8,117.0,100.0,1.0,54.6,713.0,39.6,80.02,-40.419999999999995,22.6,167.8,False
55.6,304.0,66.7,3.0,33.3,3.0,59.8,117.0,61.5,26.0,50.0,4.0,37.5,8.0,66.7,15.0,61.5,26.0,60.6,71.0,55.38,55.26,0.12000000000000455,90.6,24.8,False
49.9,682.0,26.8,41.0,52.4,21.0,50.0,16.0,60.1,271.0,16.7,6.0,61.1,18.0,51.0,580.0,59.8,117.0,58.3,12.0,47.84,49.38,-1.5399999999999991,206.2,146.6,True
49.9,682.0,0.0,1.0,58.3,12.0,59.8,117.0,56.2,73.0,43.8,16.0,58.4,370.0,53.5,43.0,58.8,34.0,50.0,20.0,44.84,52.9,-8.059999999999995,177.0,96.6,False
52.8,354.0,57.9,133.0,61.4,1180.0,45.9,270.0,26.3,19.0,16.7,6.0,25.0,4.0,56.0,605.0,59.8,117.0,55.0,333.0,48.86,42.5,6.359999999999999,391.2,213.0,True
66.7,12.0,25.0,8.0,20.0,5.0,59.8,117.0,51.8,438.0,51.0,241.0,30.0,10.0,33.3,15.0,44.4,18.0,58.8,17.0,44.66,43.5,1.1599999999999966,116.0,60.2,True
66.7,15.0,58.0,181.0,51.3,39.0,55.2,116.0,78.6,14.0,50.0,8.0,51.5,489.0,50.2,876.0,59.8,117.0,49.7,298.0,61.96,52.24,9.719999999999999,73.0,357.6,True
62.3,53.0,53.2,408.0,67.4,89.0,71.0,31.0,80.0,5.0,44.4,18.0,55.7,341.0,37.5,8.0,59.8,117.0,48.6,35.0,66.78,49.2,17.58,117.2,103.8,True
100.0,4.0,53.7,374.0,59.6,272.0,59.8,117.0,50.6,87.0,40.0,10.0,68.8,32.0,50.0,342.0,,,0.0,1.0,64.74,31.76,32.97999999999999,170.8,77.0,True
28.6,14.0,52.9,905.0,33.3,3.0,75.0,4.0,58.1,31.0,30.0,10.0,100.0,2.0,60.4,106.0,59.8,117.0,70.0,10.0,49.58,64.04,-14.460000000000008,191.4,49.0,False
44.4,27.0,50.0,64.0,44.1,59.0,59.5,42.0,50.0,16.0,44.7,38.0,54.4,79.0,49.4,415.0,59.8,117.0,48.4,31.0,49.6,51.34,-1.740000000000002,41.6,136.0,False
25.0,4.0,40.5,37.0,60.0,40.0,59.8,117.0,55.6,9.0,28.6,14.0,53.0,268.0,,,58.7,213.0,48.3,29.0,48.18,37.72,10.46,41.4,104.8,True
50.0,10.0,53.0,462.0,58.7,75.0,59.8,117.0,100.0,1.0,0.0,1.0,52.3,235.0,51.9,478.0,25.0,8.0,50.0,6.0,64.3,35.84,28.459999999999994,133.0,145.6,True
50.0,2.0,57.1,21.0,51.4,1063.0,68.2,22.0,51.5,435.0,62.5,48.0,,,80.0,5.0,100.0,2.0,33.3,9.0,55.64,55.16,0.480000000000004,308.6,12.8,False
60.9,64.0,68.6,35.0,80.0,5.0,59.8,117.0,71.4,28.0,53.4,116.0,43.6,101.0,53.2,79.0,50.0,2.0,58.8,34.0,68.14,51.8,16.340000000000003,49.8,66.4,True
52.3,260.0,60.5,43.0,58.7,75.0,59.8,117.0,60.0,10.0,52.2,23.0,,,,,56.3,32.0,48.5,66.0,58.26,31.4,26.86,101.0,24.2,True
53.1,96.0,33.3,6.0,58.7,75.0,59.8,117.0,54.6,302.0,42.9,7.0,50.0,38.0,42.9,7.0,50.0,34.0,45.8,24.0,51.9,46.32,5.579999999999998,119.2,22.0,True
61.1,18.0,56.3,16.0,80.0,5.0,59.8,117.0,27.3,11.0,69.7,33.0,58.1,43.0,56.0,50.0,44.4,9.0,100.0,1.0,56.9,65.64,-8.740000000000002,33.4,27.2,False
50.0,4.0,57.6,85.0,58.7,75.0,59.8,117.0,49.3,73.0,0.0,1.0,53.0,83.0,25.0,4.0,44.4,9.0,100.0,2.0,55.08,44.48,10.600000000000001,70.8,19.8,True
44.4,90.0,59.6,104.0,58.7,75.0,59.8,117.0,88.9,9.0,53.8,403.0,62.0,92.0,34.6,26.0,42.9,7.0,55.8,163.0,62.28,49.82,12.46,79.0,138.2,True
35.7,14.0,58.8,17.0,56.5,46.0,68.6,35.0,48.4,62.0,0.0,1.0,53.3,15.0,44.9,49.0,59.8,117.0,45.5,11.0,53.6,40.7,12.899999999999999,34.8,38.6,True
75.0,12.0,60.0,105.0,100.0,1.0,57.1,21.0,56.5,46.0,53.4,384.0,55.2,163.0,46.2,52.0,59.8,117.0,58.5,41.0,69.72,54.62,15.100000000000001,37.0,151.4,True
44.4,18.0,62.5,8.0,57.1,14.0,52.0,294.0,,,63.6,33.0,52.4,143.0,50.0,2.0,59.8,117.0,52.3,44.0,54.0,inf,-inf,,inf,True
46.6,73.0,51.0,210.0,59.8,117.0,48.0,50.0,50.0,22.0,50.0,16.0,44.9,198.0,33.3,3.0,66.7,9.0,45.5,11.0,51.08,48.08,3.0,94.4,47.4,False
52.0,100.0,,,54.5,413.0,48.9,47.0,62.5,32.0,54.1,61.0,58.6,29.0,59.8,117.0,54.5,44.0,39.3,28.0,54.48,53.26,1.2199999999999989,118.4,55.8,True
55.3,103.0,56.4,39.0,59.8,117.0,58.7,75.0,0.0,5.0,54.1,159.0,45.2,31.0,58.5,106.0,50.0,2.0,50.0,2.0,46.04,51.56,-5.520000000000003,67.8,60.0,False
45.5,11.0,58.1,31.0,59.8,117.0,58.7,75.0,62.5,8.0,50.0,8.0,52.9,17.0,100.0,1.0,55.0,80.0,100.0,2.0,56.92,71.58,-14.659999999999997,48.4,21.6,False
20.0,5.0,60.2,113.0,59.8,117.0,61.7,47.0,68.8,16.0,67.1,152.0,12.5,8.0,57.0,100.0,,,50.0,54.0,54.1,37.32,16.78,59.6,62.8,True
,,50.0,6.0,58.0,100.0,33.3,6.0,56.3,16.0,53.8,52.0,55.0,20.0,59.8,117.0,100.0,3.0,64.0,25.0,49.4,66.52,-17.119999999999997,25.6,43.4,False
33.3,3.0,52.2,136.0,59.8,117.0,66.7,12.0,51.7,447.0,52.2,23.0,53.1,849.0,,,58.3,24.0,42.9,7.0,52.74,41.3,11.440000000000005,143.0,180.6,True
62.5,40.0,25.0,20.0,59.8,117.0,58.7,75.0,40.0,5.0,57.5,160.0,56.9,72.0,57.1,7.0,33.3,3.0,100.0,1.0,49.2,60.96,-11.759999999999998,51.4,48.6,False
57.4,115.0,57.7,168.0,59.8,117.0,58.7,75.0,55.3,47.0,57.6,85.0,49.4,85.0,83.3,6.0,47.7,44.0,40.7,27.0,57.78,55.74,2.039999999999999,104.4,49.4,False
59.8,117.0,70.3,37.0,33.3,15.0,52.6,19.0,66.7,6.0,25.0,4.0,,,56.3,71.0,46.4,28.0,53.5,99.0,56.54,36.24,20.299999999999997,38.8,40.4,True
35.3,17.0,54.4,79.0,56.7,134.0,42.3,26.0,28.6,7.0,50.0,16.0,49.3,278.0,45.5,55.0,40.0,10.0,69.2,13.0,43.46,50.8,-7.339999999999996,52.6,74.4,False
57.1,63.0,62.9,70.0,59.8,117.0,48.4,124.0,51.8,695.0,,,57.1,7.0,27.8,18.0,75.0,8.0,47.0,100.0,56.0,41.38,14.619999999999997,213.8,26.6,True
12.5,8.0,39.3,28.0,0.0,5.0,0.0,3.0,0.0,2.0,50.6,1343.0,60.0,40.0,59.8,117.0,58.7,75.0,39.3,28.0,10.36,53.68,-43.32,9.2,320.6,False
35.3,17.0,33.3,3.0,12.5,8.0,58.7,75.0,25.0,4.0,74.2,31.0,100.0,1.0,52.0,50.0,,,65.6,64.0,32.96,58.36,-25.4,21.4,29.2,False
54.2,72.0,62.5,24.0,40.7,27.0,33.3,18.0,50.0,14.0,35.3,17.0,62.5,32.0,100.0,1.0,58.7,75.0,59.3,27.0,48.14,63.16,-15.019999999999996,31.0,30.4,False
,,55.6,9.0,38.9,36.0,58.6,174.0,50.9,110.0,75.0,4.0,100.0,1.0,100.0,4.0,58.7,75.0,50.0,10.0,51.0,76.74,-25.739999999999995,65.8,18.8,False
41.2,17.0,60.0,20.0,67.6,37.0,56.4,101.0,50.0,246.0,0.0,1.0,58.6,70.0,59.8,117.0,58.7,75.0,33.3,9.0,55.04,42.08,12.96,84.2,54.4,True
57.1,49.0,78.4,37.0,59.8,117.0,58.7,75.0,51.0,343.0,61.8,68.0,61.0,82.0,54.5,44.0,55.0,20.0,55.0,60.0,61.0,57.46,3.539999999999999,124.2,54.8,False
66.7,12.0,77.8,9.0,59.8,117.0,37.5,8.0,55.0,60.0,52.6,962.0,33.3,18.0,0.0,4.0,57.4,317.0,53.7,188.0,59.36,39.4,19.96,41.2,297.8,True
100.0,1.0,38.9,18.0,59.8,117.0,58.7,75.0,55.9,136.0,60.0,5.0,54.5,11.0,53.1,49.0,66.7,12.0,51.3,267.0,62.66,57.12,5.539999999999999,69.4,68.8,True
59.2,49.0,57.9,38.0,33.3,6.0,52.2,1619.0,54.9,366.0,77.8,9.0,59.3,27.0,59.8,117.0,58.7,75.0,48.1,160.0,51.5,60.74,-9.240000000000002,415.6,77.6,True
54.0,50.0,70.7,41.0,100.0,1.0,49.8,205.0,100.0,1.0,60.3,126.0,30.0,10.0,35.3,17.0,0.0,1.0,0.0,1.0,74.9,25.12,49.78,59.6,31.0,True
55.6,9.0,66.7,12.0,49.2,61.0,56.2,89.0,54.5,505.0,56.7,127.0,0.0,1.0,59.8,117.0,58.7,75.0,28.6,7.0,56.44,40.76,15.68,135.2,65.4,True
48.2,83.0,57.1,7.0,50.7,952.0,0.0,1.0,25.0,4.0,61.1,18.0,,,59.8,117.0,58.7,75.0,53.9,332.0,36.2,46.7,-10.5,209.4,108.4,False
100.0,1.0,71.4,7.0,59.8,117.0,58.7,75.0,,,33.3,9.0,50.0,16.0,46.2,93.0,50.0,8.0,40.0,10.0,72.47,inf,-inf,,inf,True
46.4,28.0,,,,,60.6,104.0,0.0,1.0,53.8,13.0,,,59.8,117.0,58.7,75.0,42.6,54.0,35.67,42.98,-7.309999999999995,26.6,51.8,False
50.0,4.0,62.5,160.0,35.3,17.0,51.1,47.0,59.4,345.0,0.0,1.0,59.5,301.0,52.6,114.0,44.4,9.0,55.1,69.0,51.66,42.32,9.339999999999996,114.6,98.8,True
65.0,20.0,53.8,26.0,57.1,177.0,59.1,88.0,44.4,9.0,54.7,95.0,77.8,9.0,59.8,117.0,28.6,7.0,59.6,104.0,55.88,56.1,-0.21999999999999886,64.0,66.4,False
55.2,67.0,57.9,354.0,59.8,117.0,58.7,75.0,57.9,57.0,0.0,1.0,,,43.9,41.0,36.4,11.0,,,57.9,16.06,41.84,134.0,10.6,True
52.6,38.0,,,59.8,117.0,58.7,75.0,66.7,3.0,40.0,5.0,50.0,4.0,51.3,600.0,50.0,6.0,60.0,15.0,59.45,50.26,9.190000000000005,46.6,126.0,True
54.5,88.0,,,59.8,117.0,58.7,75.0,51.2,902.0,50.0,2.0,71.4,7.0,56.0,50.0,68.2,22.0,59.3,27.0,56.05,60.98,-4.93,236.4,21.6,True
100.0,1.0,53.3,15.0,40.4,52.0,54.5,242.0,57.6,59.0,51.7,60.0,50.7,71.0,59.8,117.0,60.0,5.0,0.0,1.0,61.16,44.44,16.72,73.8,50.8,True
51.5,1024.0,53.5,409.0,44.8,29.0,50.0,10.0,50.0,22.0,52.8,72.0,52.4,21.0,59.8,117.0,52.7,222.0,56.8,37.0,49.96,54.9,-4.939999999999998,298.8,93.8,False
53.3,287.0,100.0,1.0,59.8,117.0,58.7,75.0,45.5,11.0,51.9,79.0,50.0,66.0,70.0,10.0,65.4,52.0,53.8,93.0,63.46,58.22,5.240000000000002,98.2,60.0,True
35.3,17.0,52.6,19.0,58.4,161.0,60.0,5.0,56.3,497.0,20.0,5.0,59.7,390.0,47.9,359.0,66.7,15.0,52.7,419.0,52.52,49.4,3.1200000000000045,139.8,237.6,True
56.5,184.0,41.4,29.0,59.8,117.0,50.0,6.0,50.0,2.0,25.0,12.0,66.7,3.0,0.0,1.0,45.5,22.0,27.3,11.0,51.54,32.9,18.64,67.6,9.8,True
70.0,10.0,55.6,349.0,59.8,117.0,58.7,75.0,100.0,2.0,57.4,68.0,60.0,5.0,55.6,27.0,55.6,81.0,50.0,6.0,68.82,55.72,13.099999999999994,110.6,37.4,True
100.0,1.0,57.6,99.0,59.8,117.0,58.7,75.0,100.0,1.0,33.3,3.0,,,0.0,1.0,40.0,10.0,,,75.22,14.66,60.56,58.6,2.8,True
47.6,21.0,0.0,2.0,0.0,2.0,58.7,75.0,57.1,7.0,75.0,8.0,66.7,12.0,50.0,14.0,66.7,3.0,62.5,32.0,32.68,64.18,-31.500000000000007,21.4,13.8,False
50.0,8.0,64.4,59.0,59.8,117.0,50.0,6.0,53.4,247.0,66.7,3.0,52.1,511.0,33.3,6.0,50.0,2.0,28.6,7.0,55.52,46.14,9.380000000000003,87.4,105.8,True
56.2,130.0,46.2,13.0,35.3,17.0,,,44.1,34.0,55.6,9.0,54.7,344.0,80.0,15.0,43.8,16.0,53.7,41.0,45.45,57.56,-12.11,38.8,85.0,False
,,54.8,31.0,50.8,63.0,49.0,51.0,50.0,8.0,62.1,66.0,50.0,12.0,59.8,117.0,0.0,1.0,54.5,11.0,51.15,45.28,5.869999999999997,30.6,41.4,True
56.7,30.0,53.9,425.0,59.8,117.0,60.0,5.0,33.3,6.0,50.0,6.0,66.7,15.0,60.2,347.0,55.3,550.0,61.5,13.0,52.74,58.74,-6.0,116.6,186.2,False
59.8,117.0,50.0,2.0,37.1,35.0,50.0,6.0,75.0,4.0,70.0,10.0,48.5,33.0,52.0,102.0,65.3,72.0,49.2,126.0,54.38,57.0,-2.6199999999999974,32.8,68.6,False
,,75.0,8.0,47.4,19.0,52.2,23.0,44.4,18.0,55.8,52.0,48.8,43.0,35.3,17.0,58.7,75.0,54.8,62.0,54.75,50.68,4.07,13.6,49.8,True
62.5,8.0,75.0,12.0,41.4,29.0,,,51.0,351.0,54.5,22.0,43.8,32.0,59.8,117.0,58.7,75.0,100.0,1.0,57.48,63.36,-5.880000000000003,80.0,49.4,False
55.0,111.0,65.5,55.0,59.8,117.0,60.0,5.0,59.5,131.0,53.3,30.0,55.8,52.0,62.5,8.0,77.8,9.0,55.1,98.0,59.96,60.9,-0.9399999999999977,83.8,39.4,True
61.5,161.0,46.6,58.0,0.0,1.0,28.6,7.0,43.9,41.0,38.1,42.0,60.7,173.0,52.0,294.0,62.5,8.0,41.7,48.0,36.12,51.0,-14.880000000000003,53.6,113.0,False
60.0,5.0,34.3,35.0,65.7,70.0,50.5,91.0,55.5,391.0,45.3,139.0,0.0,1.0,66.7,12.0,64.3,112.0,45.7,70.0,53.2,44.4,8.800000000000004,118.4,66.8,True
57.3,96.0,52.7,256.0,65.7,105.0,61.9,21.0,54.5,132.0,57.4,470.0,25.0,4.0,40.0,5.0,56.4,264.0,65.4,52.0,58.42,48.84,9.579999999999998,122.0,159.0,True
52.9,467.0,50.0,12.0,52.9,17.0,66.7,6.0,41.7,12.0,,,53.8,13.0,53.8,13.0,33.3,39.0,58.9,146.0,52.84,39.96,12.880000000000003,102.8,42.2,True
53.7,562.0,63.6,11.0,50.0,10.0,0.0,5.0,,,55.6,54.0,60.5,76.0,54.2,382.0,52.9,70.0,56.7,353.0,41.82,inf,-inf,,inf,False
52.8,144.0,75.9,29.0,47.5,40.0,85.7,7.0,55.6,243.0,54.2,552.0,62.7,83.0,49.2,61.0,20.0,15.0,66.7,57.0,63.5,50.56,12.939999999999998,92.6,153.6,True
58.2,679.0,50.0,48.0,55.2,834.0,54.7,391.0,52.2,23.0,59.4,32.0,100.0,12.0,53.8,13.0,,,57.1,28.0,54.06,54.06,0.0,395.0,17.0,False
58.5,118.0,54.4,57.0,53.8,13.0,,,51.0,749.0,52.7,964.0,50.0,2.0,53.8,39.0,52.6,38.0,45.5,55.0,54.42,50.92,3.5,187.4,219.6,True
54.4,511.0,66.1,118.0,62.4,322.0,55.6,36.0,62.5,32.0,54.5,134.0,52.6,19.0,56.7,224.0,47.8,23.0,75.0,16.0,60.2,57.32,2.8800000000000026,203.8,83.2,True
,,57.3,689.0,53.4,148.0,55.4,121.0,51.2,41.0,,,57.3,131.0,57.0,107.0,48.9,45.0,75.0,16.0,54.32,47.64,6.68,199.8,59.8,False
33.3,6.0,,,50.3,149.0,80.0,10.0,50.0,2.0,66.7,12.0,65.9,82.0,44.1,102.0,41.5,41.0,75.0,16.0,53.4,58.64,-5.240000000000002,33.4,50.6,False
50.0,2.0,35.7,28.0,47.4,19.0,43.8,16.0,75.0,4.0,65.2,23.0,60.3,141.0,57.0,107.0,55.1,207.0,69.6,23.0,50.38,61.44,-11.059999999999995,13.8,100.2,False
56.5,382.0,57.9,347.0,,,54.3,403.0,23.1,13.0,46.4,28.0,68.3,63.0,43.8,64.0,55.1,207.0,69.6,23.0,47.95,56.64,-8.689999999999998,229.0,77.0,False
67.6,34.0,68.3,63.0,46.7,15.0,65.2,89.0,69.6,23.0,54.9,51.0,44.9,49.0,53.3,377.0,62.5,8.0,50.6,2957.0,63.48,53.24,10.239999999999995,44.8,688.4,True
0.0,3.0,60.5,205.0,56.3,48.0,58.1,129.0,,,50.0,2.0,61.5,13.0,56.7,224.0,100.0,1.0,69.6,23.0,43.72,inf,-inf,,inf,False
55.6,9.0,,,44.4,18.0,36.4,11.0,75.0,16.0,64.3,98.0,43.5,23.0,54.9,386.0,0.0,1.0,0.0,3.0,52.85,32.54,20.310000000000002,10.8,102.2,True
53.9,193.0,66.7,9.0,48.5,68.0,50.0,16.0,41.2,17.0,50.0,36.0,60.3,58.0,,,55.6,18.0,14.3,7.0,52.06,36.04,16.020000000000003,60.6,23.8,True
0.0,2.0,52.4,21.0,0.0,2.0,55.6,18.0,14.3,7.0,50.0,2.0,45.0,20.0,100.0,1.0,55.6,81.0,100.0,2.0,24.46,70.12,-45.660000000000004,10.0,21.2,False
53.6,420.0,,,25.0,4.0,50.0,26.0,33.3,12.0,54.0,441.0,54.3,611.0,56.2,153.0,55.6,18.0,14.3,7.0,40.47,46.88,-6.410000000000004,92.4,246.0,False
80.0,10.0,,,54.2,349.0,50.0,10.0,14.3,7.0,53.8,13.0,32.4,37.0,51.7,205.0,45.3,53.0,,,49.62,36.64,12.979999999999997,75.2,61.6,False
51.5,2817.0,51.1,231.0,50.0,10.0,65.1,43.0,75.0,16.0,61.0,490.0,,,56.3,339.0,55.0,20.0,57.8,147.0,58.54,46.02,12.519999999999996,623.4,199.2,True
100.0,1.0,66.7,3.0,66.7,60.0,65.1,43.0,51.2,1612.0,,,53.0,570.0,44.0,25.0,46.2,13.0,,,69.94,28.64,41.3,343.8,121.6,True
33.3,6.0,52.2,23.0,44.1,102.0,41.2,17.0,25.0,8.0,60.0,10.0,60.0,5.0,56.0,84.0,66.7,12.0,50.4,544.0,39.16,58.62,-19.46,31.2,131.0,False
77.8,18.0,56.2,723.0,20.0,5.0,72.7,22.0,51.2,84.0,53.5,215.0,,,50.0,22.0,48.3,58.0,50.0,8.0,55.58,40.36,15.219999999999999,170.4,60.6,True
50.0,4.0,46.7,30.0,57.0,107.0,,,54.8,126.0,62.1,29.0,50.2,1048.0,50.0,14.0,63.3,49.0,58.8,102.0,52.12,56.88,-4.760000000000005,53.4,248.4,False
66.7,27.0,51.9,474.0,47.7,44.0,44.4,18.0,,,,,57.0,107.0,43.8,64.0,25.0,4.0,56.8,44.0,52.68,,,,,True
20.0,5.0,50.0,2.0,33.3,15.0,59.1,44.0,0.0,2.0,44.8,67.0,60.3,375.0,55.6,18.0,25.0,8.0,57.1,7.0,32.48,48.56,-16.080000000000005,13.6,95.0,False
60.0,5.0,,,51.4,488.0,65.1,43.0,50.0,54.0,53.8,52.0,42.3,52.0,57.9,19.0,,,68.0,25.0,56.62,44.4,12.219999999999999,118.0,29.6,False
,,62.0,79.0,0.0,2.0,20.0,5.0,33.3,3.0,56.8,88.0,64.1,128.0,43.8,64.0,60.3,58.0,54.9,51.0,28.82,55.98,-27.159999999999997,17.8,77.8,False
54.7,298.0,33.3,9.0,0.0,2.0,48.1,308.0,41.2,17.0,100.0,2.0,58.0,81.0,57.0,107.0,57.8,154.0,54.7,86.0,35.46,65.5,-30.04,126.8,86.0,False
54.6,218.0,42.2,161.0,56.7,224.0,44.1,34.0,60.0,20.0,54.9,71.0,66.7,3.0,52.6,173.0,50.0,2.0,66.7,9.0,51.52,58.18,-6.659999999999997,131.4,51.6,False
61.2,139.0,53.0,83.0,63.0,100.0,65.1,43.0,,,42.9,7.0,33.3,3.0,75.0,4.0,74.4,39.0,73.2,41.0,60.58,inf,-inf,,inf,True
11.1,9.0,54.4,68.0,52.0,638.0,0.0,1.0,53.1,96.0,55.3,926.0,54.8,42.0,55.6,18.0,52.6,215.0,61.5,26.0,34.12,55.96,-21.840000000000003,162.4,245.4,False
55.3,926.0,55.7,352.0,57.9,95.0,,,63.7,91.0,0.0,1.0,,,43.8,64.0,55.6,333.0,56.0,75.0,58.15,31.08,27.07,292.8,94.6,True
53.6,69.0,63.4,41.0,51.9,27.0,45.1,51.0,53.1,966.0,54.9,415.0,39.2,51.0,43.8,64.0,58.3,12.0,75.0,16.0,53.42,54.24,-0.8200000000000003,230.8,111.6,False
54.4,609.0,54.4,103.0,56.7,224.0,47.9,351.0,69.6,23.0,66.7,18.0,50.0,6.0,57.1,7.0,38.9,18.0,47.4,19.0,56.6,52.02,4.579999999999998,262.0,13.6,True
41.2,17.0,,,37.5,16.0,50.0,92.0,,,52.1,286.0,61.0,187.0,43.8,64.0,70.6,17.0,75.0,16.0,42.9,inf,-inf,,inf,False
56.4,413.0,52.6,19.0,52.3,585.0,35.3,17.0,0.0,1.0,52.2,23.0,40.0,5.0,56.7,224.0,72.7,11.0,69.6,23.0,39.32,58.24,-18.92,207.0,57.2,False
0.0,1.0,57.1,7.0,54.2,24.0,28.6,7.0,63.2,19.0,52.2,23.0,33.3,12.0,57.0,107.0,72.7,11.0,69.6,23.0,40.62,56.96,-16.340000000000003,11.6,35.2,False
50.9,110.0,60.0,5.0,44.1,102.0,49.0,196.0,50.0,2.0,51.5,101.0,54.4,239.0,54.8,498.0,51.8,168.0,58.8,170.0,50.8,54.26,-3.460000000000001,83.0,235.2,False
53.2,109.0,63.6,11.0,50.0,16.0,55.6,9.0,51.8,220.0,45.9,148.0,69.6,56.0,46.7,15.0,60.5,76.0,70.0,10.0,54.84,58.54,-3.6999999999999957,73.0,61.0,True
53.0,83.0,60.0,65.0,75.0,4.0,65.1,43.0,57.1,7.0,54.5,101.0,36.4,11.0,50.6,174.0,50.0,14.0,41.5,82.0,62.04,46.6,15.439999999999998,40.4,76.4,True
42.2,109.0,50.5,93.0,57.5,179.0,48.5,33.0,54.6,97.0,57.1,49.0,45.8,24.0,45.7,35.0,54.0,139.0,57.1,7.0,50.66,51.94,-1.2800000000000011,102.2,50.8,True
59.5,37.0,54.5,44.0,43.8,64.0,55.6,259.0,100.0,1.0,59.6,47.0,40.9,137.0,54.2,153.0,35.7,14.0,51.9,27.0,62.68,48.46,14.219999999999999,81.0,75.6,True
0.0,2.0,46.2,13.0,47.5,40.0,48.6,35.0,0.0,1.0,56.1,66.0,63.0,54.0,55.6,18.0,52.6,399.0,70.0,10.0,28.46,59.46,-31.0,18.2,109.4,False
,,54.9,335.0,,,69.2,13.0,52.5,101.0,48.8,82.0,58.3,103.0,45.7,35.0,54.5,22.0,57.1,7.0,58.87,52.88,5.989999999999995,89.8,49.8,False
52.7,1715.0,63.3,30.0,45.2,62.0,50.0,38.0,0.0,1.0,,,52.1,265.0,,,55.5,265.0,56.3,144.0,42.24,32.78,9.46,369.2,134.8,False
